what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1480882020663
java.specification.name,sysinfo,,,"Java Platform API Specification",1480882020663
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480882020663
java.specification.version,sysinfo,,,"1.6",1480882020663
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1480882020663
java.version,sysinfo,,,"1.6.0_23",1480882020663
java.vm.info,sysinfo,,,"mixed mode",1480882020663
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1480882020663
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1480882020663
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1480882020663
java.vm.specification.version,sysinfo,,,"1.0",1480882020663
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1480882020663
java.vm.version,sysinfo,,,"19.0-b09",1480882020663
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1480882020925
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882085578
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882085637
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882088443
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882088499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480882104045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1480882337968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480882425894
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882428034
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1480882434068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1480882443365
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882447225
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1480882450427
